Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
KIA,Magentis,0.5428571428571428,Sedan,0.5630706979880858,0.47619047606575965,Metan/Propan,Manual,0.04230769230769231,0.4078516581294059
Seat,Inca,0.34285714285714286,Combi,0.6740474317185569,0.4523809522505669,Diesel,Manual,0.01720647773279352,0.34536742994038666
Skoda,Fabia,0.7428571428571429,Minivan,0.37169832527818364,0.2857142855442177,Diesel,Manual,0.09109311740890688,0.4581870856315115
Mitsubishi,Outlander,0.7142857142857143,SUV,0.557154096886591,0.47619047606575965,Petrol,Automatic,0.1882591093117409,0.6252006948981711
Ford,Focus,0.8571428571428571,Universal,0.38181409463864224,0.356904761751644,Diesel,Manual,0.16781376518218624,0.7864319274982822
Renault,Megane,0.6285714285714286,Universal,0.5504102506462852,0.3571428569897959,Diesel,Manual,0.06072874493927125,0.4846509554849852
Honda,Civic,0.37142857142857144,Universal,0.6515679442508711,0.3571428569897959,Petrol,Manual,0.024291497975708502,0.3483953326696171
Hyundai,Tucson,0.8,Crossover,0.2694166573002136,0.047619047392290254,Metan/Propan,Automatic,0.23076923076923078,0.41500919271268594
Renault,Clio Symbol,0.6,Sedan,0.47397999325615375,0.3333333331746032,Petrol,Manual,0.0465587044534413,0.3890096012776942
Audi,A4,0.7428571428571429,Sedan,0.37439586377430595,0.47619047606575965,Petrol,Automatic,0.19433198380566802,0.46152989024458185
Audi,A3 e-tron,0.8571428571428571,Hatchback,0.3256153759694279,0.0,Electric,Automatic,0.3208502024291498,0.6703623228777834
Lexus,CT Series,0.8,Sedan,0.18332022029897718,0.42857142843537416,Hybrid,Automatic,0.23987854251012145,0.2816452170037328
Toyota,Auris,0.7714285714285715,Universal,0.320816005395077,0.3333333331746032,Diesel,Manual,0.16396761133603238,0.4393528577884252
Vaz,2107,0.6,Sedan,0.30508036416769696,0.3333333331746032,Petrol,Manual,0.018218623481781375,0.24947536538711532
Renault,Grand Scenic,0.7714285714285715,Minivan,0.4065415308530965,0.3571428569897959,Diesel,Automatic,0.12955465587044535,0.5573879077138311
Skoda,Octavia,0.8,Universal,0.34809486343711366,0.3333333331746032,Petrol,Automatic,0.18421052631578946,0.5368822775642097
Skoda,Octavia,0.8285714285714286,Sedan,0.3683264021580308,0.38095238080498867,Diesel,Automatic,0.24595141700404857,0.6498014214878663
Volkswagen,Scirocco,0.6857142857142857,Coupe,0.33817916151511745,0.3333333331746032,Petrol,Manual,0.14977732793522266,0.3467347298828161
Ford,Focus,0.8285714285714286,Universal,0.3425266943913679,0.3571428569897959,Diesel,Automatic,0.17611336032388664,0.604128363697142
Opel,Astra,0.6,Universal,0.42677306957401373,0.30952380935941043,Diesel,Manual,0.07892712550607288,0.3500102141252066
Toyota,Avensis,0.8,Universal,0.37057435090479934,0.47619047606575965,Diesel,Manual,0.30364372469635625,0.5717031589503594
BMW,7 Series,0.5714285714285714,Sedan,0.5841294818478139,0.7142857142176872,Diesel,Automatic,0.21052631578947367,0.4498300740988356
Toyota,Auris,0.7142857142857143,Hatchback,0.409353714735304,0.4280952379590703,Hybrid,Automatic,0.15384615384615385,0.4586961036066836
Fiat,Grande Punto,0.6285714285714286,Hatchback,0.41553332584017083,0.30952380935941043,Diesel,Automatic,0.06072874493927125,0.3652650764467579
Chevrolet,Aveo,0.7428571428571429,Hatchback,0.420029223333708,0.30952380935941043,Diesel,Manual,0.08097165991902834,0.5180790016156889
Renault,Megane,0.5428571428571428,Sedan,0.42677306957401373,0.3571428569897959,Diesel,Manual,0.05263157894736842,0.30849826141387526
Suzuki,Grand Vitara,0.5428571428571428,SUV,0.8988423063954142,0.6428571427721089,Petrol,Automatic,0.09919028340080972,0.6526105009946482
Volkswagen,Golf,0.6857142857142857,Hatchback,0.5066876475216365,0.47619047606575965,Petrol,Automatic,0.18319838056680163,0.5207486025219603
Daewoo,Kalos,0.4857142857142857,Hatchback,0.4942115319770709,0.3333333331746032,Petrol,Manual,0.02834008097165992,0.31970993839269746
Nissan,Almera,0.4857142857142857,Hatchback,0.20197819489715635,0.3571428569897959,Petrol,Manual,0.008097165991902834,0.1291114297527204
Renault,Grand Scenic,0.7714285714285715,Minivan,0.37057435090479934,0.3571428569897959,Diesel,Manual,0.1396761133603239,0.507864876409085
Honda,Clarity,0.9142857142857143,Hatchback,0.08058896257165336,0.3571428569897959,Plug-in Hybrid,Automatic,0.36232793522267204,0.24786896205916764
Toyota,Verso,0.8285714285714286,Minivan,0.22895357985837922,0.42857142843537416,Petrol,Automatic,0.2408906882591093,0.4030706048088632
BMW,5 Series,0.5142857142857142,Sedan,0.0061796111048668095,0.5952380951417234,Petrol,Manual,0.11133603238866396,0.0016450931961545362
Mitsubishi,Outlander,0.4857142857142857,Crossover,0.4680611442059121,0.47619047606575965,Petrol,Manual,0.08097165991902834,0.3026543041541678
Volkswagen,Touran,0.7142857142857143,Minivan,0.3773181971451051,0.3333333331746032,Petrol,Manual,0.14977732793522266,0.42260647592420947
Toyota,Prius Prime,0.9428571428571428,Hatchback,0.005282679554906148,0.42857142843537416,Plug-in Hybrid,Automatic,0.3724493927125506,0.020372537002989955
Volkswagen,Transporter,0.5142857142857142,Microvan,0.42677306957401373,0.4514285712979592,Diesel,Manual,0.11538461538461539,0.2912016144508205
Skoda,Octavia,0.7142857142857143,Universal,0.47173204450938516,0.3333333331746032,Petrol,Manual,0.11740890688259109,0.5289684408855394
Lincoln,MKZ,0.8,Sedan,0.3593346071709565,0.47619047606575965,Hybrid,Automatic,0.23481781376518218,0.5542927182572845
Renault,Scenic,0.5142857142857142,Universal,0.404293582106328,0.3571428569897959,Diesel,Manual,0.05465587044534413,0.2757256671680874
Toyota,Land Cruiser Prado,0.6,Crossover,0.4537484545352366,0.6428571427721089,Metan/Propan,Automatic,0.2834008097165992,0.3722955782123424
Volkswagen,Polo,0.8857142857142857,Hatchback,0.38181409463864224,0.33857142841394555,Diesel,Manual,0.15384615384615385,0.9442865897821605
